时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
0.788883,400,1045,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.790959,416,1088,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.809595,435,1141,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.811616,450,1209,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.828576,480,1291,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.830837,503,1377,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.850542,527,1456,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.851533,543,1523,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.859124,564,1591,2389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.878702,597,1714,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.881053,645,1909,2814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.891333,714,2152,3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.909549,789,2429,3495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.910564,881,2787,3951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.930571,1007,3258,4510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.931572,1139,3786,5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.948638,1245,4241,5558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.950643,1343,4649,5957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.969177,1452,5138,6429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.970319,1583,5743,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.990454,1779,6672,7872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.992458,2098,8165,9184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.009856,2548,10287,10972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.011959,3129,12817,13122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.031132,3762,15499,15309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03214,4426,18366,17548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.038602,5010,20961,19512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.058768,5443,22861,20918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.060781,5683,24094,21740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.079274,5762,24759,22160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.081287,5785,25661,22754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.099854,5771,26904,23770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.100851,5622,27972,25088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.119392,5234,28445,26303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1206,4588,28135,26917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.139833,3971,27629,27332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.140826,3961,28131,28292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
