时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
0,7255,32541,37497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06075,7263,32546,37501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.061962,7271,32543,37506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06345,7269,32536,37482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06445,7270,32525,37465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.065449,7267,32517,37443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066449,7265,32508,37431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.079951,7269,32507,37418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.081067,7272,32504,37416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100016,7272,32504,37410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.102016,7275,32510,37415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.122025,7276,32513,37422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.123547,7279,32516,37424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140805,7283,32520,37427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.143095,7286,32520,37434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.159804,7289,32524,37435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.161311,7291,32517,37435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180447,7295,32518,37428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.181586,7299,32514,37422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200744,7299,32512,37419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.201766,7305,32512,37422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.221556,7310,32523,37433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.223061,7316,32522,37445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.241638,7320,32529,37449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.242637,7326,32528,37450,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260411,7327,32530,37455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.261966,7331,32525,37454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280283,7331,32529,37452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.282283,7336,32523,37454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300559,7339,32528,37452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.301589,7343,32526,37458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320378,7344,32525,37457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.321464,7350,32522,37455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.339973,7349,32523,37449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.341973,7353,32514,37443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.361298,7358,32517,37438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.362508,7359,32514,37440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.380951,7361,32515,37444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.382197,7365,32518,37447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.401224,7367,32520,37452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.402224,7371,32519,37459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.420527,7377,32524,37462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.421527,7380,32521,37464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.440244,7385,32528,37472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.442244,7392,32529,37481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.449693,7393,32535,37495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.469835,7402,32540,37506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.471835,7406,32547,37518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.490165,7411,32550,37534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.491336,7417,32556,37546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.511429,7426,32555,37552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.512453,7428,32559,37553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.530519,7432,32559,37558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.531518,7437,32562,37561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.550519,7440,32561,37563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.551519,7442,32562,37565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.569549,7445,32561,37568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.571556,7449,32563,37575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.590047,7455,32571,37585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.591549,7459,32577,37600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.610421,7469,32583,37617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.611433,7471,32587,37628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.631899,7479,32586,37630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.632899,7482,32583,37622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6499,7483,32581,37614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6519,7482,32574,37607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.671406,7485,32575,37608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.673407,7487,32577,37608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.681499,7492,32578,37615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.700821,7497,32574,37613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.701847,7500,32573,37614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.721905,7499,32568,37606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.723411,7502,32562,37594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.741112,7503,32554,37582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.742112,7502,32556,37580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.760113,7502,32547,37573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.761113,7505,32550,37568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78162,7503,32537,37558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78262,7505,32541,37548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800404,7503,32538,37533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.801424,7501,32533,37527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.821535,7501,32530,37523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.823045,7501,32536,37527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.841495,7508,32542,37534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.842595,7507,32549,37545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.860314,7512,32548,37549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.861314,7513,32551,37557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.881716,7513,32550,37557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.882716,7520,32552,37556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900909,7519,32551,37546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.901927,7520,32542,37534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.911251,7521,32533,37524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
