时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
1.618242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085,1.8025
1.62031,5225,31992,35252,0,0,0,0,0,0,0,0,0.00854,0,0,0,0.84,1.4
1.638199,0,0,0,0,0,0,0,0,0,0,0,0.005734,0.0061,0.003172,0,1.54,0.9975
1.639366,5231,32001,35274,0,0,0,0,0,0,0,0,0,0.005368,0.009882,0,2.905,1.1725
1.658312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011224,0,1.89,1.995
1.659379,5242,32015,35316,0,0,0,0,0,0,0,0,0.01586,0.00305,0,0,0.56,1.2425
1.678653,0,0,0,0,0,0,0,0,0,0,0,0.017568,0,0,0,0.105,0.5425
1.679852,5251,32025,35334,0,0,0,0,0,0,0,0,0,0,0,0,0.9275,0.4725
1.698421,0,0,0,0,0,0,0,0,0,0,0,0.008174,0,0.013542,0,0.63,0
1.699814,5259,32033,35353,0,0,0,0,0,0,0,0,0.003172,0.010614,0.007564,0,0.4725,0
1.716597,0,0,0,0,0,0,0,0,0,0,0,0.006588,0.0061,0.013664,0,0.5075,0
1.719671,5268,32041,35373,0,0,0,0,0,0,0,0,0.010736,0.011956,0,0,0,0
1.73857,0,0,0,0,0,0,0,0,0,0,0,0,0.010736,0.005368,0,0,0
1.739635,5273,32044,35385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.746866,0,0,0,0,0,0,0,0,0,0,0,0.0488,0,0,0,0,0
1.749393,5277,32042,35376,0,0,0,0,0,0,0,0,0,0.018666,0,0,0,0
1.768449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017324,0,0,0
1.788763,5284,32043,35377,0,0,0,0,0,0,0,0,0,0.001952,0.004026,0,0,0
1.789855,0,0,0,0,0,0,0,0,0,0,0,0,0.00244,0,0,0,0
1.807045,5286,32045,35379,0,0,0,0,0,0,0,0,0,0.00244,0.010126,0,0.28,0.49
1.809575,0,0,0,0,0,0,0,0,0,0,0,0,0.000366,0,0,0.105,1.2075
1.827607,5290,32043,35377,0,0,0,0,0,0,0,0,0,0.00427,0,0,0.0175,1.33
1.829113,0,0,0,0,0,0,0,0,0,0,0,0.000244,0,0,0,0.6475,2.03
1.847006,5293,32042,35377,0,0,0,0,0,0,0,0,0.005612,0,0,0,0.56,1.5575
1.84958,0,0,0,0,0,0,0,0,0,0,0,0.002562,0.002318,0.000122,0,1.925,1.2775
1.868595,5297,32044,35385,0,0,0,0,0,0,0,0,0.00366,0,0,0,2.9925,1.645
1.870295,0,0,0,0,0,0,0,0,0,0,0,0,0.0061,0,0,3.2375,1.33
1.87689,5308,32056,35417,0,0,0,0,0,0,0,0,0.025254,0.014274,0,0,0.1225,0.56
1.897337,0,0,0,0,0,0,0,0,0,0,0,0.015982,0,0,0,0.385,0.0525
1.898849,5316,32066,35438,0,0,0,0,0,0,0,0,0.003294,0,0.02074,0,2.03,0.385
1.917351,0,0,0,0,0,0,0,0,0,0,0,0.007442,0.005612,0.010858,0,1.1375,0
