时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
0,113,197,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010079,114,195,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.028861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029859,113,198,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050286,113,197,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07153,114,198,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.089357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090792,112,199,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.108991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110003,114,198,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.129939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.131331,112,199,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.149264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150696,113,198,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.169858,114,198,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.189535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190673,114,199,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.207527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.209753,112,199,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231528,114,197,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.238492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.258585,115,198,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.259585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.278203,117,198,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.279267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297629,113,198,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.299636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.318104,113,198,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.338781,114,198,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.340298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.358784,112,200,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.378527,113,197,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.379663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.399542,115,196,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.400736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.418675,116,196,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.419713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.437197,113,198,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.439747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.458778,115,198,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.459778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.468224,112,199,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.470423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.489616,113,200,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.508747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.50976,114,199,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.528457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.530239,115,198,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.548485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.549485,113,199,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.568787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.569802,114,198,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.588557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.589574,112,196,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.608147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.609178,114,198,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.629394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.630516,113,200,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.648234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.649693,115,199,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.669318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.670362,113,198,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.688524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.689743,112,197,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.709333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.710458,113,200,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.718414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.738426,115,198,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.740201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.759197,116,199,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.760338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.778543,113,200,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.779674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.797519,114,203,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820402,114,206,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.821401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.838138,113,212,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.839644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.857855,115,219,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.860198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.879881,120,228,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.880917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.89988,122,241,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.901295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.917996,125,243,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.919438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.939991,123,243,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.941135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.949178,126,246,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.968055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.969275,132,269,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.989289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.990427,142,318,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.009467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.010705,161,413,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.028324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.029469,191,557,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.050362,209,642,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.070245,217,675,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.088737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.090202,249,840,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.109091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.110137,389,1488,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.128653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.129963,756,3044,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.148545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14955,1298,4933,4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.169632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.171007,1577,5617,5053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.189337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.190528,1553,5294,4996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.207577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.210165,1765,5900,5745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.228435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.229443,2292,7520,7419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.250317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.251662,2985,9753,9458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.267927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.269013,3711,12346,11523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.279923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.298413,4805,17282,15374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.317739,5145,23628,21791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.319061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.33958,4690,25729,25311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.341094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.35824,4964,27954,29029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.35952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.378574,5504,30049,32571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.379593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.398613,5770,30878,33797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.399884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.41838,5929,31219,34440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.419385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.438669,6099,31481,35006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.440299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.458299,6252,31632,35414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.459384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.479562,6378,31733,35652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.480691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.497776,6487,31859,35852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.500069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.508454,6593,31999,36051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.529242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.531559,6685,32095,36201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.547987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.54912,6748,32144,36306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.568286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.569426,6797,32162,36369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.588024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.590263,6833,32167,36394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.609711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.611712,6859,32172,36417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.627778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.629326,6888,32175,36453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.648808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.64994,6918,32186,36489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.66925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.670383,6944,32196,36514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.690405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.691503,6966,32197,36530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.708674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.709707,6983,32198,36521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.729994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.731053,6990,32194,36499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
